geneId	geneName	type	specific_type	d0_r1	d0_r2	d0_r3	d14_r1	d14_r2	d14_r3	d14_r4	d28_r1	d28_r2	d28_r3
ENSG00000213672.7	NCKIPSD	protein_coding	protein_coding	13.3413	12.7704	15.1755	21.4397	18.3852	21.1947	17.6725	13.2853	15.199	8.58929
ENSG00000213676.12	ATF6B	protein_coding	protein_coding	20.3674	23.9093	18.2871	36.5803	34.3798	29.4436	38.4444	31.3197	35.1128	25.1331
ENSG00000213689.13	TREX1	protein_coding	protein_coding	1.3158	2.64503	2.90479	1.5468	1.53945	3.83282	4.35058	1.92287	6.69713	7.41221
ENSG00000213694.4	S1PR3	protein_coding	protein_coding	3.37196	3.30881	2.86726	10.1244	10.2503	8.61267	12.171	3.13884	3.03572	5.21194
ENSG00000213699.8	SLC35F6	protein_coding	protein_coding	18.3307	19.3422	19.2537	16.576	18.7759	19.2066	15.3585	12.7859	13.7108	18.6231
ENSG00000213714.1	FAM209B	protein_coding	protein_coding	0.693017	1.84074	0.691674	1.55412	1.80486	0.370921	0.647261	0.1	0.1	0.144371
ENSG00000213719.8	CLIC1	protein_coding	protein_coding	307.692	300.196	316.067	289.614	282.383	257.433	292.977	190.365	200.2	207.817
ENSG00000213722.8	DDAH2	protein_coding	protein_coding	43.3277	31.7763	27.1461	112.8	119.892	106.28	119.347	196.205	174.17	189.897
ENSG00000213741.10	RPS29	protein_coding	protein_coding	2009.65	1892.26	1902.31	1778.32	1898.74	1755.27	1733.47	1725.91	1388.44	2068.1
ENSG00000213742.6	ZNF337-AS1	lncRNA	antisense	0.43881	2.02008	0.872141	3.22953	2.37304	2.46123	2.91484	2.65879	1.61244	1.68884
ENSG00000213759.9	UGT2B11	protein_coding	protein_coding	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0394872
ENSG00000213760.10	ATP6V1G2	protein_coding	protein_coding	3.64171	2.74653	4.72727	14.4049	16.2919	18.7935	12.2896	19.1635	24.7363	15.6622
ENSG00000213762.11	ZNF134	protein_coding	protein_coding	4.59291	6.77126	4.84233	6.08373	4.98012	5.43689	4.94696	9.78135	9.01297	12.0968
ENSG00000213780.10	GTF2H4	protein_coding	protein_coding	14.8581	21.873	16.9139	26.4086	27.6655	31.2635	28.0756	25.6933	25.6994	18.3409
ENSG00000213782.7	DDX47	protein_coding	protein_coding	30.9785	33.6992	35.4617	20.9999	27.4582	27.3482	24.5626	29.4261	28.7572	37.2928
ENSG00000213793.5	ZNF888	protein_coding	protein_coding	4.37063	2.06353	4.53646	2.23292	0.753366	3.48319	3.044	1.66834	2.46062	1.62929
ENSG00000213799.12	ZNF845	protein_coding	protein_coding	4.62807	5.09735	4.17596	2.31572	3.60542	2.85175	3.00878	3.16736	2.40002	2.49223
ENSG00000213809.8	KLRK1	protein_coding	protein_coding	0.265585	0.570641	0.643908	3.06268	2.50589	1.38991	2.58037	0.1	0.1	0.109486
