lnc_geneId	lnc_gene_id	lnc_geneName	target_geneName	target_geneId	target_gene_id	cor	p_cor	lfc_lnc	lnc_deg_cmp	lfc_pc	pc_deg_cmp	both_deg	corr_type
ENSG00000225778.5	ENSG00000225778	PROSER2-AS1	PROSER2	ENSG00000148426.12	ENSG00000148426	0.7559110800406433	0.011427631080676768	-2.3918566333606477	FALSE	-0.08339990217008857	FALSE	FALSE	Positive Down
ENSG00000226167.1	ENSG00000226167	AP4B1-AS1	AP4B1	ENSG00000134262.12	ENSG00000134262	0.709541760093875	0.021544944239651698	0.4791306813244384	FALSE	0.8817900284113658	FALSE	FALSE	Positive Up
ENSG00000227028.6	ENSG00000227028	SLC8A1-AS1	SLC8A1	ENSG00000183023.18	ENSG00000183023	0.798759954637712	0.0055836085936682225	2.486972967929347	FALSE	3.070714538051229	TRUE	FALSE	Positive Up
ENSG00000227128.4	ENSG00000227128	LBX1-AS1	LBX1	ENSG00000138136.6	ENSG00000138136	0.9845348650777793	2.4564632724103074e-7	0.737609320830159	FALSE	1.4907059498814195	FALSE	FALSE	Positive Up
ENSG00000227258.5	ENSG00000227258	SMIM2-AS1	SMIM2	ENSG00000139656.6	ENSG00000139656	-0.8978352844943022	4.2064780782275266e-4	-0.40046885177932107	FALSE	-0.945502364073238	FALSE	FALSE	Negative
ENSG00000227487.3	ENSG00000227487	NCAM1-AS1	NCAM1	ENSG00000149294.16	ENSG00000149294	0.6498891365251407	0.041945230747435	1.4391941968769324	FALSE	2.220060519163212	TRUE	FALSE	Positive Up
ENSG00000227640.2	ENSG00000227640	SOX21-AS1	SOX21	ENSG00000125285.5	ENSG00000125285	0.9198986663171449	1.6336844607601277e-4	0.26444875282804103	FALSE	0.0577005744469618	FALSE	FALSE	Positive Up
ENSG00000228109.1	ENSG00000228109	MELTF-AS1	MELTF	ENSG00000163975.11	ENSG00000163975	-0.6565343199213304	0.03920586385740956	0.7310787997182702	FALSE	-1.0960989534495262	FALSE	FALSE	Negative
ENSG00000228598.1	ENSG00000228598	MACC1-AS1	MACC1	ENSG00000183742.12	ENSG00000183742	0.8451365305960559	0.0020782421459408238	-2.983358458753261	TRUE	-1.6257321210526623	FALSE	FALSE	Positive Down
ENSG00000229153.5	ENSG00000229153	EPHA1-AS1	EPHA1	ENSG00000146904.8	ENSG00000146904	0.8448967515900281	0.0020905056755312133	-4.149657994468987	TRUE	-4.952483856544399	TRUE	TRUE	Positive Down
ENSG00000229847.8	ENSG00000229847	EMX2OS	EMX2	ENSG00000170370.11	ENSG00000170370	0.7823577838918421	0.007477879927751693	2.4698312876068638	FALSE	2.4322898452744823	FALSE	FALSE	Positive Up
ENSG00000229873.1	ENSG00000229873	OGFR-AS1	OGFR	ENSG00000060491.16	ENSG00000060491	0.7430964734539555	0.013787943069181062	0.6295224514151168	FALSE	0.5159042991789756	FALSE	FALSE	Positive Up
ENSG00000230091.6	ENSG00000230091	TMEM254-AS1	TMEM254	ENSG00000133678.13	ENSG00000133678	0.732514530765985	0.01597816692726362	0.1928624018078767	FALSE	0.2441323921510703	FALSE	FALSE	Positive Up
ENSG00000230316.6	ENSG00000230316	FEZF1-AS1	FEZF1	ENSG00000128610.11	ENSG00000128610	0.9497163975024604	2.631684985273546e-5	0.7555457586152821	FALSE	-0.2241653531581141	FALSE	FALSE	Negative
ENSG00000230487.7	ENSG00000230487	PSMG3-AS1	PSMG3	ENSG00000157778.8	ENSG00000157778	-0.6646992712655589	0.03600838328183208	0.44093970402514465	FALSE	-0.2429610080565732	FALSE	FALSE	Negative
ENSG00000230630.5	ENSG00000230630	DNM3OS	DNM3	ENSG00000197959.13	ENSG00000197959	0.6995068828640301	0.02434972428786883	3.8493846864336403	TRUE	2.3241836509168703	TRUE	TRUE	Positive Up
ENSG00000230798.5	ENSG00000230798	FOXD3-AS1	FOXD3	ENSG00000187140.5	ENSG00000187140	0.9889403853196133	6.45895966628154e-8	-7.780261432906934	TRUE	-6.452354411366717	TRUE	TRUE	Positive Down
ENSG00000231154.1	ENSG00000231154	MORF4L2-AS1	MORF4L2	ENSG00000123562.16	ENSG00000123562	-0.704444345195149	0.022940168329933407	-0.5776508679395915	FALSE	-0.08016185467330637	FALSE	FALSE	Negative
ENSG00000231646.5	ENSG00000231646	FSIP2-AS1	FSIP2	ENSG00000188738.14	ENSG00000188738	0.7413637666729649	0.014131255108115073	1.0631020472757153	FALSE	2.3755647971553397	TRUE	FALSE	Positive Up
ENSG00000231728.3	ENSG00000231728	TMSB15B-AS1	TMSB15B	ENSG00000158427.14	ENSG00000158427	0.6634631627698604	0.03648069825453361	3.4596263352357086	FALSE	-0.22635914814649766	FALSE	FALSE	Negative
ENSG00000231764.8	ENSG00000231764	DLX6-AS1	DLX6	ENSG00000006377.10	ENSG00000006377	0.8506244875079318	0.0018115302701087635	0.737609320830159	FALSE	3.039344605380663	FALSE	FALSE	Positive Up
ENSG00000232104.3	ENSG00000232104	RFX3-AS1	RFX3	ENSG00000080298.15	ENSG00000080298	0.7214258265408463	0.018521552711149244	2.686185930023836	FALSE	1.7317602208234588	FALSE	FALSE	Positive Up
ENSG00000232586.1	ENSG00000232586	KIAA1614-AS1	KIAA1614	ENSG00000135835.11	ENSG00000135835	-0.8922839489902289	5.162122468728739e-4	0.737609320830159	FALSE	-1.127963391238727	FALSE	FALSE	Negative
ENSG00000233509.2	ENSG00000233509	ZNF197-AS1	ZNF197	ENSG00000186448.14	ENSG00000186448	0.7893492548458704	0.006622295841695096	-0.22416535315811387	FALSE	0.460056142425511	FALSE	FALSE	Negative
ENSG00000233718.7	ENSG00000233718	MYCNOS	MYCN	ENSG00000134323.11	ENSG00000134323	0.6981543012537639	0.024745998142046352	-1.126290425712889	FALSE	-1.5709002649976727	FALSE	FALSE	Positive Down
ENSG00000233885.7	ENSG00000233885	YEATS2-AS1	YEATS2	ENSG00000163872.15	ENSG00000163872	0.8173877561853078	0.003878042733135461	3.178792678714045	TRUE	0.8855698190821621	FALSE	FALSE	Positive Up
ENSG00000234456.7	ENSG00000234456	MAGI2-AS3	MAGI2	ENSG00000187391.20	ENSG00000187391	-0.651373780791781	0.0413223957407343	2.155103500370014	TRUE	-1.3341201561133993	FALSE	FALSE	Negative
ENSG00000234608.7	ENSG00000234608	MAPKAPK5-AS1	MAPKAPK5	ENSG00000089022.13	ENSG00000089022	0.7729301443555449	0.008751843810604908	-0.5172739819488331	FALSE	-0.37195072760158565	FALSE	FALSE	Positive Down
